
Alhambra, California Code of Ordinances


TITLE I:  GENERAL PROVISIONS
Statutory reference:



   For statutory definition concerning daytime and nighttime, see Cal.
Gov't Code § 6807



§ 1.04.091  CITY DEPARTMENTS.



   The following departments shall operate within the city for the
management and operation of the city’s functions:



   (A)   Management Services Department.



   (B)   Community Services Department.



   (C)   Department of Finance.



   (D)   Department of Public Works. Whenever hereinafter in this code
the words “Public Works Department,” or “Department of Public Works,”
or “City Public Works Department,” or “Public Works,” or “City
Department of Public Works,” or “City of Alhambra Public Works
Department,” or “Department of Public Services” are used, the words
“Department of Public Works” shall be substituted in lieu thereof.



   (E)   Development Services Department.



   (F)   Utilities Department. Whenever hereinafter in this code the
words “Water Division of the Department of Public Works,” or “Utilities
Department,” or “Water Division of the Department of Public Services,”
or “Water Department,” are used, the words “Department of Utilities”
shall be substituted in lieu thereof.



   (G)   Fire Department.



   (H)   Human Resources Department. Whenever hereinafter in this code
the words “Personnel Department” or “Personnel Office” are used, the
words “ Human Resources Department” shall be substituted in lieu thereof.



   (I)   Library.



   (J)   Police Department.



(Ord. 4694, passed 6-27-16; Am. Ord. 4695, passed 7-25-16; Am. Ord. 4714,
passed 6-12-17; Am. Ord. 4728, passed 1-22-18)



§ 1.04.100  GENDER.



   The masculine gender includes the feminine and neuter.



('86 Code, § 1.04.100)



Statutory reference:



   For statutory definition concerning gender, see Cal. Gov't Code § 12



§ 1.04.110  IN THE CITY.



   IN THE CITY includes all territory over which the city now has, or
shall hereafter acquire the jurisdiction for the exercise of its police
powers or other regulatory powers.



('86 Code, § 1.04.110)



§ 1.04.120  JOINT AUTHORITY.



   All words giving a joint authority to three or more persons or officers
shall be construed as giving such authority to a majority of such persons or
officers.



('86 Code, § 1.04.120)



Statutory reference:



   For statutory definition concerning joint authority, see Cal. Civ. Code
§ 12



§ 1.04.130  MONTH.



   MONTH means a calendar month. 



('86 Code, § 1.04.130)



Statutory reference:



   For statutory definition concerning month, see Cal. Gov't Code § 6804



§ 1.04.140  NUMBER.



   The singular number includes the plural, and the plural the singular.



('86 Code, § 1.04.140)



Statutory reference:



   For statutory definition concerning numbers, see Cal. Gov't Code § 13



§ 1.04.150  OATH.



   OATH includes affirmation. 



('86 Code, § 1.04.150)



Statutory reference



   For further statutory definition, see Cal.  Gov't Code § 15



§ 1.04.160  OR, AND.



   The term OR may be read “and,” and the term AND may be read
“or,” if the sense requires it. 



('86 Code, § 1.04.160)



§ 1.04.170  OWNER.



   OWNER applied to a building or land, shall include any part owner,
joint owner, tenant in common, tenant in partnership, joint tenant or tenant
by entirety, of the whole or of a part of such building or land.



('86 Code, § 1.04.170)



§ 1.04.180  PERSON.



   PERSON includes any person, firm, association, organization,
partnership, business trust, corporation or company.



('86 Code, § 1.04.180)



Statutory reference:



   For statutory definition concerning person, see Cal. Gov't Code § 17



§ 1.04.190  PERSONAL PROPERTY.



   PERSONAL PROPERTY includes every species of property except real
property, as defined in this chapter.



('86 Code, § 1.04.190)



Statutory reference:



   For statutory reference concerning personal property, see Cal. Civ.
Code § 14



§ 1.04.200  PRECEDING, FOLLOWING.



   PRECEDING and FOLLOWING mean next before and next after, respectively. 



('86 Code, § 1.04.200)



§ 1.04.210  PROCESS.



   PROCESS includes a writ or summons issued in the course of judicial
proceedings of either a civil or criminal nature.



('86 Code, § 1.04.210)



Statutory reference:



   For statutory definition concerning process, see Cal. Gov't Code § 22



§ 1.04.220  PROPERTY.



   PROPERTY includes real and personal property.



('86 Code, § 1.04.220)



Statutory reference:



   For statutory definition concerning property, see Cal. Civ. Code § 14



§ 1.04.230  REAL PROPERTY.



   REAL PROPERTY.  Includes lands, tenements and hereditaments. 



('86 Code, § 1.04.230)



Statutory reference:



   For statutory definition concerning real property, see Cal. Civ. Code
§ 14



§ 1.04.240  ROADWAY.



   ROADWAY Is that portion of a highway improved, designed or ordinarily
used for vehicular travel.



('86 Code, § 1.04.240)



Statutory reference:



   For statutory definition concerning roadway, see Cal. Veh. Code § 530



§ 1.04.250  SHALL, MAY.



   The term “shall” is mandatory and the term “may” is permissive.



('86 Code, § 1.04.250)



Statutory reference:



   For statutory definition concerning shall and may, see Cal. Gov't Code
§ 14



§ 1.04.260  SIDEWALK.



   SIDEWALK Is that portion of a highway, other than the roadway, set
apart for pedestrian travel.



('86 Code, § 1.04.260)



Statutory reference:



   For statutory definition concerning sidewalks, see Cal. Veh. Code § 555



§ 1.04.270  SIGNATURE OR SUBSCRIPTION.



   SIGNATURE or SUBSCRIPTION includes a mark when the signer or subscriber
cannot write, such signer's or subscriber's name being written near the mark
by a witness who writes his own name near the signer's or subscriber's name;
but a signature or subscription by mark can be acknowledged or can serve as a
signature or subscription to a sworn statement only when two witnesses so
sign their own names thereto.



('86 Code, § 1.04.270)



Statutory reference:



   For statutory definition of signature or subscription, see Cal. Gov't
Code § 16



§ 1.04.280  STATE.



   THE STATE or THIS STATE shall be construed to mean the state of
California.



('86 Code, § 1.04.280)



§ 1.04.290  STREET, HIGHWAY.



   STREET or HIGHWAY is a way or place of whatsoever nature, publicly
maintained and open to the use of the public for purposes of vehicular travel.



('86 Code, § 1.04.290)



Statutory reference:



   For statutory definition concerning street or highway, see Cal. Veh.
Code § 591



§ 1.04.300  TENANT OR OCCUPANT.



   TENANT or OCCUPANT, applied to a building or land, shall include any
person holding a written or oral lease of or who occupies, the whole or a
part of such building or land, either alone or with others.



('86 Code, § 1.04.300)



§ 1.04.310  TENSES.



   The present tense includes the past and future tenses; and the future,
the present.



('86 Code, § 1.04.310)



Statutory reference:



   For statutory definition concerning tenses, see Cal. Gov't Code § 11



§ 1.04.320  WEEK.



   A week consists of seven consecutive days.



('86 Code, § 1.04.320)



Statutory reference:



   For statutory definition concerning week, see Cal. Gov't Code § 6805



§ 1.04.330  WRITING.



   WRITING includes any form of recorded message capable of comprehension
by ordinary visual means. Whenever any notice, report, statement or record is
required or authorized by this code, it shall be made in writing in the
English language unless it is expressly provided otherwise.



('86 Code, § 1.04.330)



Statutory reference:



   For statutory definition concerning writing, see Cal. Gov't Code § 8



§ 1.04.340  YEAR.



   YEAR means a calendar year except where otherwise provided.



('86 Code, § 1.04.340)



Statutory reference:



   For statutory definition concerning year, see Cal. Gov't Code § 6803



§ 1.04.350  RESERVED.



(Ord. 4602, passed 6-25-12; Am. Ord. 4694, passed 6-27-16; Am. Ord. 4695,
passed 7-25-16)



CHAPTER 1.08:  CONSTRUCTION AND INTERPRETATION



Section



   1.08.010   Provisions considered as continuations of existing
ordinances



   1.08.020   Effect of repeal of ordinances



   1.08.022   Effect of repeal of resolutions



   1.08.030   Severability of parts of code



   1.08.040   Official time



   1.08.050   Catchlines of sections



§ 1.08.010  PROVISIONS CONSIDERED AS CONTINUATION OF EXISTING ORDINANCES.



   The provisions appearing in this code, so far as they are the same as
those of ordinances existing at the time of the effective date of this code,
shall be considered as continuations thereof and not as new enactments.



('86 Code, § 1.080.010)



§ 1.08.020  EFFECT OF REPEAL OF ORDINANCES.



   The repeal of an ordinance shall not revive any resolution in force
before or at the time the resolution repealed took effect. The repeal of an
ordinance shall not affect any punishment or penalty incurred before the
repeal took effect, nor any suit, prosecution or proceeding pending at the
time of the repeal, for any offense committed under the ordinance repealed.



('86 Code, § 1.080.020)



§ 1.08.022  EFFECT OF REPEAL OF RESOLUTIONS.



   The repeal of a resolution shall not revive any resolution in force
before or at the time the resolution repealed took effect.



('86 Code, § 1.080.022)



§ 1.08.030  SEVERABILITY OF PARTS OF CODE.



   It is hereby declared to be the intention of the City Council that the
sections, paragraphs, sentences, subsections, clauses and phrases of this
code are severable, and if any phrase, clause, sentence, subsections,
paragraph or section of this code shall be declared unconstitutional by the
valid judgment or decree of any court of competent jurisdiction, such
unconstitutionality shall not affect any of the remaining phrases, clauses,
sentences, paragraphs and sections of this code.



('86 Code, § 1.080.030)



§ 1.08.040  OFFICIAL TIME.



   Whenever certain hours are named herein, they shall mean Pacific
standard time or daylight saving time whichever may be in current use in the
city.



('86 Code, § 1.080.040)



§ 1.08.050  CATCHLINES OF SECTIONS.



   The catchlines of the several sections of this code printed in boldface
type are intended as mere catch-words to indicate the contents of the section
and shall not be deemed or taken to be titles of such sections, nor as any
part of the section, nor, unless expressly so provided, shall they be so
deemed when any of such sections, including the catchlines, are amended or
re-enacted.



('86 Code, § 1.080.050)



CHAPTER 1.12:  VIOLATIONS PROCEDURE



Section



   1.12.010   General penalty; continuing violations



   1.12.011   Infractions, penalties, continuing violations



   1.12.012   Power to arrest



   1.12.020   Citation procedure for code violations



   1.12.030   Violation of promise to appear



   1.12.040   Warrant for arrest upon failure to appear



   1.12.050   False arrest or imprisonment; use of reasonable force



   1.12.060   Infractions, penalties, continuing violations



   1.12.070   Administrative citations



   1.12.080   Civil actions



   1.12.090   Attorneys' fees



§ 1.12.010  GENERAL PENALTY; CONTINUING VIOLATIONS.



   Whenever in this code or in any other ordinance of the city, any act is
prohibited or is made or declared to be unlawful or an offense, or the doing
of any act is required or the failure to do any act is declared to be
unlawful or a misdemeanor, where no specific penalty is provided therefor,
the violation of any such provision of this code or any other ordinance of
the city shall be punished by a fine set by City Council resolution or
imprisonment for a term not exceeding six months, or by both such fine and
imprisonment. Every day any violation of this code or any other ordinance of
the city shall continue shall constitute a separate offense. Any violation of
the code that is declared a misdemeanor can be prosecuted as an infraction at
the discretion of the City Attorney.



('86 Code, § 1.12.010) (Am. Ord. 4544, passed 5-26-09



Cross-reference:



   For further provisions declaring violation of ordinance a misdemeanor
and providing  penalties therefor, see Charter §§ 61(5, 6) and 197



Statutory reference:



   For further provisions concerning the authority of cities to impose
fines not exceeding $1,000 and imprisonment for violations of ordinances, see
Cal. Gov't Code § 36901



   Penalties for misdemeanor violations, see Cal. Penal Code § 19



§ 1.12.011  INFRACTIONS, PENALTIES, CONTINUING VIOLATIONS.



   Whenever in this code or in any other ordinance of the city, any act is
prohibited or is made or declared to be unlawful or an offense or the doing
of any act is required or the failure to do any act is declared to be
unlawful and the violation of any such provision of this code or any other
ordinance of the city is expressly made an infraction, such infraction shall
be punishable in amounts as established by City Council resolution.



('86 Code, § 1.12.011) (Ord. 3636, passed  - - ; Am. Ord. 4544, passed
5-26-09)



Statutory reference:



   For further provisions concerning declaring violation of ordinances to
be a misdemeanor unless otherwise made an infraction, see Cal. Gov't Code §
36900



§ 1.12.012  POWER TO ARREST.



   The Code Enforcement Manager, Code Enforcement Officer, Fire Marshal
and/or Fire Prevention Captain if authorized by the City Manager or his or
her designee shall have the authority, as a public officer, to arrest any
person without a warrant whenever such officer has reasonable cause to
believe that the person has, in his or her presence, violated any provision
of this code, the violation of which is a public offense.



('86 Code, § 1.12.012) (Ord. 3686, passed  - - ; Am. Ord. 3935, passed  -
- )



§ 1.12.020  CITATION PROCEDURE FOR CODE VIOLATIONS.



   In any case in which an arrest is made pursuant to this chapter for an
offense declared to be a misdemeanor, the arresting officer will, instead of
taking the person arrested before a magistrate, follow the procedure
prescribed by Cal. Penal Code §§ 853.6 et seq. (Chapter 5C of Title 3 of
Part 2), unless the arrested person demands to be taken before a magistrate.
The provisions of the Chapter 5C shall thereafter apply with reference to any
proceeding based upon the issuance of a citation pursuant to Chapter 1.12 of
this code. Except as otherwise provided by law, all provisions of law
relating to misdemeanors shall apply to infractions including, but not
limited to, powers of peace officers, jurisdiction of courts, periods for
commencing action and for bringing a case to trial and burden of proof.



('86 Code, § 1.12.020) (Ord. 2805, passed  - - ; Am. Ord. 3935, passed  -
- )



§ 1.12.030  VIOLATION OF PROMISE TO APPEAL.



   Any person willfully violating his or her written promise to appear in
court is guilty of a misdemeanor regardless of the disposition of the charge
upon which he or she was originally arrested. The place specified in the
notice to appear shall be before a municipal court judge of the municipal
court of the city judicial district.



('86 Code, § 1.12.030) (Ord. 2805, passed  - - )



§ 1.12.040  WARRANT FOR ARREST UPON FAILURE TO APPEAR.



   When a person signs a written promise to appear at the time and place
specified in the written promise to appear and has not posted bail as
provided in Cal. Penal Code § 853.1, the magistrate shall issue and have
delivered for execution a warrant for his or her arrest in 20 days after his
or her failure to appear as promised, or if such person promises to appear
before an officer authorized to accept bail other than a magistrate and fails
to do so on or before the date on which he or she promised to appear, then,
within 20 days after the delivery of such written promise to appear by the
officer to a magistrate having jurisdiction over the offense. The officer
shall deliver one copy of the notice to appear to the arrested person and the
arrested person, in order to secure release, must give his or her written
promise so to appear in court by signing the duplicate notice which shall be
retained by the officer; thereupon the arresting officer shall forthwith
release the person arrested from custody.



('86 Code, § 1.12.040) (Ord. 2805, passed  - - )



§ 1.12.050  FALSE ARREST OR IMPRISONMENT; USE OF REASONABLE FORCE.



   (A)   There shall be no civil liability on the part of and no cause
of action shall arise against any person acting pursuant to this chapter and
within the scope of his or her authority for false arrest or false
imprisonment arising out of any arrest which is lawful or which the arresting
city officer or employee at the time of such arrest had reasonable cause to
believe was lawful. No such city officer or employee shall be deemed an
aggressor or lose his or her right to self-defense by use of reasonable force
to effect the arrest or to prevent escape or to overcome resistance.



   (B)   Nothing in this chapter is intended to or shall operate to
change or shall have the effect of changing the status of any city
“miscellaneous” officer or employee who is charged by any provision in
this code with the enforcement thereof to that of an individual peace officer
or safety member for purposes of retirement, workers compensation or similar
injury or death benefits, or any other employee benefits to which the city
“miscellaneous” officer or employee would not have been entitled to as a
city “miscellaneous” officer or employee prior to the adoption hereof.



('86 Code, § 1.12.050) (Ord. 3935, passed  - - )



§ 1.12.060  INFRACTIONS, PENALTIES, CONTINUING VIOLATIONS.



   Notwithstanding any other provision of this code, when a person under
the age of 18 years is charged with a violation of this code, and a peace
officer issues a notice to appear in superior court to that minor, the charge
shall be deemed an infraction unless the minor requests that a petition be
filed under Cal. Welf. & Inst. Code §§ 601 or 602. The amount of the fine
imposed shall be set by the court.



(Ord. 4287, passed 6-12-95)



§ 1.12.070  ADMINISTRATIVE CITATIONS.



   Upon a finding by a city official vested with the authority to enforce
the provisions of this code that a violation exists, such official may issue
an administrative citation under Chapter 1.13.



(Ord. 4544, passed 5-26-09)



§ 1.12.080  CIVIL ACTIONS.



   The City Attorney, by and at the request of the City Council or city
staff, may institute an action in any court of competent jurisdiction to
restrain, enjoin or abate the condition(s) found to be in violation of the
provisions of this code, as provided by law. In any civil action commenced by
the city to abate a public nuisance, to enjoin violation of any provision of
this code, or to collect a civil debt owing to the city, the city shall be
entitled to recover from the defendant in  any such action all costs
incurred therein, including reasonable attorneys' fees and costs of suit,
subject to § 1.12.090 of this code.



(Ord. 4573, passed 1-10-11)



§ 1.12.090  ATTORNEYS' FEES.



   Under Cal. Gov't Code § 38773.5, in any action, administrative
proceeding, or special proceeding brought to abate a public nuisance, the
prevailing part will be entitled to recover attorneys' fees, provided that
attorneys' fees will only be available in those actions or proceedings in
which the city has provided notice at the commencement of such action or
proceeding that it intends to seek and recover its own attorneys' fees. In no
action or proceeding shall an award of attorneys' fees exceed the amount of
reasonable attorneys' fees incurred by the city in the action or proceeding.



(Ord. 4573, passed 1-10-11)



CHAPTER 1.13:  ADMINISTRATIVE CITATIONS



Section



   1.13.010   Purpose and intent



   1.13.020   Definitions



   1.13.030   Service procedures



   1.13.040   Administrative citation



   1.13.050   Compliance order



   1.13.060   Amount of administrative citation fines



   1.13.070   Satisfaction of administrative citation



   1.13.080   Collection of unpaid fines and penalties



   1.13.090   Request for administrative hearing



   1.13.100   Administrative hearing procedure



   1.13.110   Administrative hearing decision



   1.13.120   Prevailing party



   1.13.130   Right to judicial review



§ 1.13.010  PURPOSE AND INTENT.



   The enforcement of the Alhambra Municipal Code is vital to the
protection of the public’s health, safety, and quality of life. Under Cal.
Gov’t Code § 53069.4, the city is authorized to adopt an administrative
citation process, which process offers an alternative method of enforcing
code violations. This chapter provides for administrative citation remedies,
which are in addition to all other legal remedies, criminal or civil, which
may be pursued by the city to address any violation of this code, including
any codes adopted by reference, or other public nuisance. This chapter
establishes an administrative citation process and monetary penalties to
encourage and expedite compliance with the provisions of the code. The use of
this chapter is also intended to minimize the expense and delay associated
with pursuing code violations through the civil or criminal justice system.



(Ord. 4544, passed 5-26-09)



§ 1.13.020  DEFINITIONS.



   For the purposes of this chapter, the following definitions shall apply
unless the context clearly indicates or requires a different meaning.



   ADMINISTRATIVE CITATION or CITATION. A written notice to a responsible
party that a violation of this code has occurred and establishes a monetary
penalty.



   CITY MANAGER. The city manager of the City of Alhambra or the City
Manager’s designee or designees.



   CODE ENFORCEMENT OFFICER. Any person authorized to enforce certain
provisions of this code.



   CONTINUING VIOLATION. Either:



      (1)   A particular violation of the code continuing for more
than 24 hours without correction or abatement, or



      (2)   A repeated, consecutive violation of the same offense.



   ENFORCEMENT OFFICER. Includes a code enforcement officer, police
officer, building inspector, or any other city employee designated by the
City Manager to enforce the provisions of the Alhambra Municipal Code and
granted authority to issue notices and administrative citations pursuant to
this title. The term ENFORCEMENT OFFICER also includes any city employee or
official expressly provided enforcement authority pursuant to the provisions
of this code.



   HEARING. A hearing conducted by a hearing officer regarding an appeal
of the issuance of an administrative citation submitted by a responsible
party.



   HEARING OFFICER. An individual or board (including, but not limited to,
the Administrative Appeals Board) as may be designated by the City Manager to
conduct hearings, including appeal hearings, and make decisions as provided
in this chapter.



   LEGAL INTEREST. Any interest that is represented by a deed of trust,
quitclaim deed, mortgage, judgment lien, tax or assessment lien, mechanic’s
lien or other similar instrument, which is recorded with the County Recorder.



   COMPLIANCE ORDER. A written notice to a responsible party that a
violation of a building, plumbing, electrical, or other similar structural or
zoning issue that does not create an immediate danger to health or safety has
occurred and a warning that an administrative citation with a monetary fine
will be issued unless the violation is corrected and abated.



   RESPONSIBLE PARTY. Any person or persons that an enforcement officer
determines is responsible for causing or maintaining a violation of this
code. The term RESPONSIBLE PARTY includes, but is not limited to, a property
owner, non-owner, occupant, tenant, or other person or entity in control of
the property who is creating, causing, or maintaining any condition in
violation of the Alhambra Municipal Code.



(Ord. 4544, passed 5-26-09)



§ 1.13.030  SERVICE PROCEDURES.



   (A)   Except as otherwise provided in this chapter, whenever notices
or citations are required to be given under this chapter, it must be given in
one of the following ways:



      (1)   Personal service; or



      (2)   Certified mail, postage prepaid, return receipt
requested. Concurrently, the same notice should be sent by first class mail.
If a notice that is sent by certified mail is returned unsigned, then service
will be deemed effective by regular mail, provided that notice is not
returned. Service by mail will be effective on the date of mailing; or



      (3)   Posting the notice conspicuously on or in front of the
affected property or any other real property within the city in which the
city has knowledge that a responsible party has a legal interest.



   (B)   The individual serving a notice or citation must complete a
declaration of service.



   (C)   The failure of any interested person to receive any notice
served in accordance with this section will not affect the validity of any
proceedings taken under this chapter.



(Ord. 4544, passed 5-26-09)



§ 1.13.040  ADMINISTRATIVE CITATION.



   (A)   Whenever an enforcement officer determines that a violation of
this code exists, the enforcement officer may issue an administrative
citation to a responsible party. Each administrative citation must contain
the following information:



      (1)   The date the violation;



      (2)   The address or definite description of the location
where the violation was observed;



      (3)   The section of the code violation;



      (4)   A description of the conditions causing the code
violation;



      (5)   The amount of the administrative fine for the code
violation;



      (6)   A description of the fine payment process, including a
description of the time within which, and the place where the fine must be
paid;



      (7)   An order prohibiting the continued or repeated
occurrence of the code violation described in the administrative citation;



      (8)   Notification that payment of a fine under this chapter
does not excuse or discharge any continued or repeated occurrence of the code
violation that is the subject of the administrative citation;



      (9)   A description of the administrative citation review
process, including the time within which the administrative citation may be
contested and the manner in which a request for review of the citation may be
requested; and



      (10)   The name of the citing enforcement officer.



   (B)   In accordance with Cal. Gov’t Code § 53069.4, no
responsible party will be issued an administrative citation under this
chapter for a violation pertaining to a building, plumbing, electrical or
similar structural or zoning issue that does not create an immediate danger
to the public health or safety without first receiving a compliance order
pursuant to § 1.13.050.



(Ord. 4544, passed 5-26-09)



§ 1.13.050  COMPLIANCE ORDER.



   (A)   Before issuing an administrative citation for any violation of
building, plumbing, electrical, or similar zoning regulation set forth in
this code or incorporated by reference, the enforcement officer must first
issue a written compliance order to the person(s) responsible for the
violation unless the violation constitutes an immediate threat to pubic
health or safety. The compliance order must contain all of the following:



      (1)   The date of the violation;



      (2)   The address or a definite description of the location
where the violation occurred;



      (3)   The section and description of the code violation;



      (4)   Identification of the action(s) necessary to correct the
violation;



      (5)   A reasonable time period for the correction of the
violation;



      (6)   Notice that if the violation is not corrected by the
date specified in the compliance order, that an administrative citation may
be issued and administrative fines imposed for failure to correct violations
by the date specified.



      (7)   Notice that the violation is a nuisance and that
collection of unpaid fines and costs (which includes but is not limited to
inspection and re-inspection time) can be enforced as a lien against the
property where the violation occurs and that an unpaid lien can result in the
property being involuntarily sold.



(Ord. 4544, passed 5-26-09)



§ 1.13.060  AMOUNT OF ADMINISTRATIVE CITATION FINES.



   (A)   The amount of the fine will be assessed according to a
schedule of fines adopted by City Council resolution. The schedule may
include escalating fine amounts for repeat violations of the same code
provision by the same person within a 12-month period from the date of a
previous administrative citation.



   (B)   A penalty of 10% will be added on any delinquent fines on the
last day of each month after the due date.



   (C)   In addition to the late penalty provided by this section,
delinquent fines will accrue interest at the rate of 1% per month, exclusive
of penalties, from the due date.



(Ord. 4544, passed 5-26-09)



§ 1.13.070  SATISFACTION OF ADMINISTRATIVE CITATION.



   (A)   Upon receipt of an administrative citation, the responsible
party must do the following:



      (1)   Pay the fine within 30 days from the date of the
administrative citation. All fines assessed are payable to the City Clerk.
Payment of a fine does not excuse or discharge the failure to correct the
violation nor will it bar further enforcement action by the City Clerk; and



      (2)   Correct and abate the violation. If the offense is a
continuing violation and the responsible party fails to properly correct and
abate the violation, fines will accrue for each day until the abatement is
properly verified by the city. Additionally, subsequent administrative
citations may be issued for the same violation. The amount of the fine for
failure to correct the violation will increase at the rate specified in this
chapter or as established by City Council resolution.



   (B)   At any time following 30 days after the issuance of the
administrative citation, the city may deliver a collection bill to the
responsible party requiring payment for all outstanding amounts owed for the
violation, including costs, the amount due for the initial violation and any
accrual of daily fines from the date the citation was issued to the date the
abatement of the offense is properly verified by the city (if applicable),
plus any appropriate late payment charge, less any amount remitted pursuant
to subsection (A) of this section.



   (C)   The abatement of a continuing violation must be verified by an
enforcement officer. The responsible party must contact by phone, the
enforcement officer who issued the citation and schedule an inspection. Fines
will accrue until the abatement is verified, less any days delayed by action
of the city in scheduling such inspection.



(Ord. 4544, passed 5-26-09)



§ 1.13.080  COLLECTION OF UNPAID FINES AND PENALTIES.



   (A)   The failure of any person to pay a fine, costs or penalty
assessed by administrative citation within the time specified on the citation
constitutes a debt to the city. To enforce that debt, the city may file a
civil action, lien the subject property as set forth below, or pursue any
other legal remedy to collect such debt. A person who fails to pay any fine
or other charge owed to the city under this chapter is liable in any action
brought by the city for all costs incurred in securing payment of the
delinquent amount, including, but not limited to, administrative costs and
attorneys’ fees. Such collection costs are in addition to any fines,
interest, and late charges.



   (B)   In addition to any other legal remedy, the city may place a
lien on property that is the subject of a citation if the administrative
citation has been issued to the property owner. The following procedure will
apply:



