Question*1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16. Environmental impact review required, no rezone?",use permit*2.0,building permit*2.0,zoning permit*2.0,construction permit*2.0,improvement location permit*2.0,special permit*2.0,site plan review*2.0,site plan approval*2.0,special permit granting authority*2.0,conditional use approval*2.0,conditional permitted use*2.0,design review*2.0,public hearing*2.0,developer's agreement*2.0,development agreement*2.0,development agreements*2.0,type ii*2.0,type 2*2.0,type iii*2.0,type 3*2.0,conditional use*1.0,plat*1.0,planned unit development*1.0,review*1.0,report*1.0,application*1.0,construction*1.0,issue*1.0,recommend*1.0,recommendation*1.0,recommendations*1.0,approve*1.0,grant*1.0,certification*1.0,plan*1.0,fee schedule*-1.0,schedule of fees*-1.0,,
"17. Council approval, rezone?",amendment*2.5,amend*2.5,amended*2.5,variance*2.5,variation*2.5,special exception permit*2.5,rezoning*2.5,type iv*2.0,type 4*2.0,application*1.0,public hearing*2.0,approve*1.0,grant*1.0,provide*1.0,authorize*1.0,recommend*1.0,recommendations*1.0,final action*1.0,take action*1.0,fee schedule*-1.0,schedule of fees*-1.0,,,,,,,,,,,,,,,,,,
"18. Planning board approval, rezone?",amendment*2.5,amend*2.5,amended*2.5,variance*2.5,variation*2.5,special exception permit*2.5,rezoning*2.5,type iv*2.0,type 4*2.0,application*1.0,public hearing*2.0,approve*1.0,grant*1.0,provide*1.0,authorize*1.0,recommend*1.0,recommendations*1.0,final action*1.0,take action*1.0,fee schedule*-1.0,schedule of fees*-1.0,,,,,,,,,,,,,,,,,,
"19. Zoning board approval, rezone?",amendment*2.5,amend*2.5,amended*2.5,variance*2.5,variation*2.5,special exception permit*2.5,rezoning*2.5,type iv*2.0,type 4*2.0,application*1.0,public hearing*2.0,approve*1.0,grant*1.0,provide*1.0,authorize*1.0,recommend*1.0,recommendations*1.0,final action*1.0,take action*1.0,fee schedule*-1.0,schedule of fees*-1.0,,,,,,,,,,,,,,,,,,
"20. County board of commissioners, rezone?",amendment*2.5,amend*2.5,amended*2.5,variance*2.5,variation*2.5,special exception permit*2.5,rezoning*2.5,type iv*2.0,type 4*2.0,application*1.0,public hearing*2.0,approve*1.0,grant*1.0,provide*1.0,authorize*1.0,recommend*1.0,recommendations*1.0,final action*1.0,take action*1.0,fee schedule*-1.0,schedule of fees*-1.0,,,,,,,,,,,,,,,,,,
"21. County zoning board, rezone?",amendment*2.5,amend*2.5,amended*2.5,variance*2.5,variation*2.5,special exception permit*2.5,rezoning*2.5,type iv*2.0,type 4*2.0,application*1.0,public hearing*2.0,approve*1.0,grant*1.0,provide*1.0,authorize*1.0,recommend*1.0,recommendations*1.0,final action*1.0,take action*1.0,fee schedule*-1.0,schedule of fees*-1.0,,,,,,,,,,,,,,,,,,
"22. Town meeting, rezone?",amendment*2.5,amend*2.5,amended*2.5,variance*2.5,variation*2.5,special exception permit*2.5,rezoning*2.5,type iv*2.0,type 4*2.0,application*1.0,public hearing*2.0,approve*1.0,grant*1.0,provide*1.0,authorize*1.0,recommend*1.0,recommendations*1.0,final action*1.0,take action*1.0,fee schedule*-1.0,schedule of fees*-1.0,,,,,,,,,,,,,,,,,,
"23. Environmental impact review required, rezone?",amendment*2.5,amend*2.5,amended*2.5,variance*2.5,variation*2.5,special exception permit*2.5,rezoning*2.5,type iv*2.0,type 4*2.0,application*1.0,public hearing*2.0,approve*1.0,grant*1.0,provide*1.0,authorize*1.0,recommend*1.0,recommendations*1.0,final action*1.0,take action*1.0,fee schedule*-1.0,schedule of fees*-1.0,,,,,,,,,,,,,,,,,,
24. ADU,permitted*5.5,permit*5.5,p*5.5,shall be*2.5,containing*1.5,detached*1.0,attached*1.0,free-standing*1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25. Height,height*2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26. Parking,parking*2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27. Table of permitted uses,use*2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
