jurisid_2019,statefp_2019,countyfp_2019,placefp_2019,stcofip_2019,full_fip_2019,basename_2019,county_name_2019,state_name_2019,region_2019,metro_nllus_2019,metro_nllus_id_2019,cbsa13_code_2019,cbsa13_name_2019,cbsa03_name_2019,s2019_dummy_2019,s2003_dummy_2019,s0319_dummy_2019,juristype_2019,summlevel_2019,summlevel2_2019,lsad_code_2019,city_cty_merge_2019,pop14_2019,pop17_2019,pop03_2019,landsqmi_2019,cbsa_sqmi_2019,sampleflag_2019,pilot_dummy_2019,survey_status_pilot_2019,status1_2019,status2_2019,respo_flag_2019,startdate_2019,enddate_2019,status_2019,progress_2019,durationinseconds_2019,finished_2019,recordeddate_2019,responseid_2019,distributionchannel_2019,userlanguage_2019,respojuris_2019,respostate_2019,respozip_2019,srjuristype_2019,resporole_2019,respootherrole_2019,respotitle_2019,respoothertitle_2019,respojuris_p_2019,respodept_p_2019,respodept_othertextp_2019,resporole_p_2019,respootherrolep_2019,jurisplan_dummy_2019,ext_plan_dummy_2019,ext_plan_juris_2019,ext_plan_title_2019,juris_masterplan_dummy_2019,mp_update_yr_2019,zo_dummy_2019,zo_alt_dummy_2019,zo_update_yr_2019,dupernacre_max_2019,hyp_densit_test_2019,hudcomp_perm_dummy_2019,hudcomp_temp_dummy_2019,tinyhome_dummy_2019,mobilehome_dummy_2019,rv_dummy_2019,min_dusize_sf_2019,adu_permit_2019,adu_permit2_2019,min_dusize_mf_2019,min_osparking_mf_2019,ugb_dummy_2019,growthmgmnt_dummy_2019,gm_popgrowthperyr_dummy_2019,gm_bpperyr_dummy_2019,gm_popgrowthperyr_2019,gm_bpperyr_2019,gm_ahexempt_2019,moratorium_2019,morat_body_2019,morat_applies_2019,morat_ahexempt_2019,if_dummy_2019,if_casebycase_2019,if_formula_dummy_2019,if_sqft_dummy_2019,if_unittype_dummy_2019,if_br_dummy_2019,if_impsurfacearea_dummy_2019,if_lotsize_dummy_2019,if_yn_2019,if_dpersqft_2019,if_dforsf_2019,if_dformf_2019,if_dnobr_2019,if_donebr_2019,if_dtwobr_2019,if_dthreebr_2019,if_dimpsurfacearea_2019,if_dlotarea_2019,if_appl_school_2019,if_appl_storm_2019,if_appl_transit_2019,if_appl_pubsafe_2019,if_appl_water_2019,if_appl_parks_2019,if_appl_waste_2019,if_appl_ah_2019,if_appl_other_2019,if_appl_othertext_2019,apfo_dummy_2019,apfo_school_dummy_2019,apfo_storm_dummy_2019,apfo_transit_dummy_2019,apfo_pubsafe_dummy_2019,apfo_water_dummy_2019,apfo_waste_dummy_2019,apfo_parks_dummy_2019,apfo_other_dummy_2019,apfo_othertext_2019,extinput_schools_2019,extinput_stormwater_2019,extinput_water_2019,extinput_hwyrds_2019,extinput_transit_2019,extinput_parks_2019,extinput_police_2019,extinput_fire_2019,ah_req_dummy_2019,pct_ah_req_2019,min_sfdu_ah_2019,min_mfdu_ah_2019,ah_fee_2019,ah_mix_design_2019,ah_quality_2019,number_ah_dus_2019,ah_noexmpt_2019,ah_bonusdens_2019,ah_buildenv_2019,ah_mindusize_2019,ah_adu_2019,ah_parking_2019,ah_ifwaiver_2019,ah_fasttrack_2019,ah_other_2019,ah_othertext_2019,ah_linkfee_2019,ah_tf_dummy_2019,ah_tf_fed_2019,ah_tf_lgov_2019,ah_tf_locrev_2019,lup_past_knowledge_2019,past_sf_amt_2019,past_sf_extent_2019,past_sf_densit_2019,past_mf_amt_2019,past_mf_undevamt_2019,past_mf_densit_2019,past_fees_2019,past_timereq_2019,past_numstaff_2019,past_extinvolve_2019,comments_2019,pilot_feedback_dummy_2019,pilot_srduration_2019,pilot_qreform_2019,pilot_qreform_text_2019,pilot_suggestions_2019,resp_nonresp_2019,apfo_other_dummySTR_2019,apfotc_2019,apfo_schooltc_2019,apfo_stormtc_2019,apfo_transittc_2019,apfo_pubsafetc_2019,apfo_watertc_2019,apfo_wastetc_2019,apfo_parkstc_2019,ah_otherSTR_2019,ah_noexmpttc_2019,ah_bondenstc_2019,ah_bldenvtc_2019,ah_mindusizetc_2019,ah_adutc_2019,ah_parkingtc_2019,ah_ifwaivertc_2019,ah_faskttracktc_2019,ah_linkfeetc_2019,ah_tftc_2019,ah_tf_fedtc_2019,ah_tf_lgovtc_2019,ah_tf_locrevtc_2019,if_pubsafetc_2019,if_parkstc_2019,if_othertc_2019,rotitle_tc_2019,rtitle_tc_2019,resporoletc_2019,if_schooltc_2019,if_stormtc_2019,if_transittc_2019,if_watertc_2019,if_wastetc_2019,if_ahtc_2019,jurisbin,popbin
"0136448","01","073","36448","01073","0107336448","Hueytown","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,16161.915,15698,"",19.45,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,1
"0137864","01","073","37864","01073","0107337864","Irondale","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,12399.666,12453,"",17.308,,0,0,"","Opted Out","Opted Out",0,10jan2019 13:40:54,10jan2019 13:41:39,0,0,45,0,10feb2019 13:41:00,"R_1LdhZRNNMTlRsa6","email","EN","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,1
"0141968","01","073","41968","01073","0107341968","Leeds","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,11882.943,11847,"",22.863,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,1
"0151696","01","073","51696","01073","0107351696","Mountain Brook","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,20493.167,20438,"",12.786,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,2
"0161008","01","073","61008","01073","0107361008","Pleasant Grove","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,10145.728,10224,"",9.893000000000001,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,1
"0176944","01","073","76944","01073","0107376944","Trussville","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,20054.794,21145,"",33.029,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,2
"0178552","01","073","78552","01073","0107378552","Vestavia Hills","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,34169.105,34003,"",19.409,,0,0,"","Finished Survey","Finished Survey",1,30jan2019 14:09:58,30jan2019 14:17:54,0,100,476,1,30jan2019 14:17:55,"R_2xVPdPsr72onOfy","email","EN","Vestavia Hills","Alabama","35216",2,1,"Not Applicable",2,"Not Applicable","",,"",,"",1,.n,".n",".n",1,8,1,.n,8,4,2,0,0,1,0,0,1,.s,.n,1,4,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",2,4,1,2,1,1,1,3,0,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,2,1,1,3,2,2,2,3,2,3,2,"",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",1,0,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",2,1,.n,.n,.n,.n,.n,.n,1,2
"0199073","01","073","99999","01073","0107399999","Jefferson County","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"county","050","050",,0,660793,659460,"",1111.276,,0,0,"","Finished Survey","Finished Survey",1,17jan2019 13:49:31,18jan2019 08:17:04,0,100,66453,1,18jan2019 08:17:05,"R_AgK1wo3vXIRZ9NT","email","EN","Jefferson County","AL","35203",5,8,"Development Services Director",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,1,1,.n,5,4,1,1,0,0,1,1,4,2,.n,4,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",2,4,2,4,1,1,1,4,0,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,3,2,2,2,2,3,2,2,2,3,2,"",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",1,0,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",1,8,.n,.n,.n,.n,.n,.n,3,5
"0151096","01","115","51096","01115","0111551096","Moody","St. Clair County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,12161.413,12585,"",24.398,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,1
"0158896","01","115","58896","01115","0111558896","Pell City","St. Clair County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,13191.286,13465,"",24.75,,0,0,"","Partially Completed Survey","Partially Completed Survey",0,17jan2019 13:50:04,17jan2019 13:50:20,0,2,15,0,17feb2019 13:50:52,"R_3Kx6uIEH6WG3Zkm","email","EN","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,1
"0199115","01","115","99999","01115","0111599999","St. Clair County","St. Clair County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"county","050","050",,0,86697,86937,"",631.902,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,3,3
