order_2003,caseno_2003,jurisid,full_fip,stfips_2003,stcofips,countyfp,statefp,placefp,survnum_2003,juris_2003,lsadc_2003,basename,areaname_2003,coname_2003,county_name,region,state_name,cmsano99_2003,cmsanm99_2003,cmsast_2003,resp1994_2003,surv1994_2003,pop00tot_2003,pop2000,land_tot_2003,sample_2003,jurtype_2003,jurtype2_2003,n_juris_2003,n_surv_2003,jurstype_2003,jurscode_2003,popcode_2003,titlcode_2003,zipcode_2003,plan_2003,planyear_2003,zoneord_2003,zoneyear_2003,maxdens_2003,maxdchng_2003,mobhome_2003,hypodev_2003,rzvote_2003,selectrz_2003,anexvote_2003,anexyear_2003,glimit_2003,grwth_limit_2003,usbusa_2003,usbdate_2003,ugb_2003,ugbdate_2003,grnbelt_2003,gbdate_2003,ull_2003,ulldate_2003,resdpace_2003,pcntcont_2003,pcntyear_2003,bcnumber_2003,moratyn_2003,morat_2003,moratpct_2003,moratst_2003,moratexp_2003,moratend_2003,mafexmp_2003,otherglm_2003,glmstart_2003,glmend_2003,impctfee_2003,ifyn_2003,if_cbc,if_formula,ifsfrate_2003,ifsinfam_2003,ifmfrate_2003,ifschool_2003,ifstorm_2003,iftransp_2003,ifpubsaf_2003,ifwater_2003,ifparkos_2003,ifwsuply_2003,ifwaste_2003,ifother_2003,ifotype1_2003,ifotype2_2003,ifotype3_2003,ifotype4_2003,afincntv_2003,afinctv2_2003,afbonus_2003,afinclzn_2003,afincpct_2003,izpctbin_2003,afhsgfee_2003,affastrk_2003,aflinkfe_2003,afother_2003,afother1_2003,afother2_2003,afother3_2003,afother4_2003,afother5_2003,afother6_2003,oprogram_2003,opstaff_2003,oppha_2003,opconvrs_2003,opwaiver_2003,opother_2003,opother1_2003,opother2_2003,opother3_2003,opother4_2003,affunits_2003,rehabpub_2003,ahpub_2003,rehabprv_2003,ahprvloc_2003,rehabfed_2003,ahprvfed_2003,aftotal_2003,afmech_2003,ahtf_2003,reg1970_2003,reg1980_2003,reg1990_2003,regchnge_2003,apfo_2003,apfodate_2003,apschool_2003,apstorm_2003,aptrans_2003,appubsaf_2003,apwater_2003,appark_2003,apother_2003,aptotal_2003,ap2subjs_2003,ap4subjs_2003,filter___2003,apfo_yn_2003,data03_2003,areakey_2003,pmsano99_2003,intptlat_2003,intptlon_2003,zoning_2003,spwlcntr_2003,pacecntl_2003,fee_sfdu_2003,dborincl_2003,spcnt2_2003,pacecnt2_2003,popcode2_2003,cmsastpc_2003,cmsaspc2_2003,impctfe2_2003,popcode3_2003,stpopjt_2003,jtstpop_2003,jtstcmpo_2003,plan2003_2003,zone_2003,ldoz_2003,hdok_2003,morat_yn_2003,ahdb_2003,ahin_2003,zndn_2003,znup_2003,pace_2003,juristype,jurisbin,popbin
828,828,"0437620","0401537620",4,"04015","015","04","37620","11","Kingman","58","Kingman","AZ, Kingman","Mohave County, AZ","Mohave County","West","AZ",4120,"Las Vegas, NV-AZ MSA",412004,-1,0,20069,19755,77617059,0,1,1,3,3,1,1,2,2,86401,1,.s,1,.s,3,1,2,1,0,.n,0,.n,1,1,1,1992,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,0,1,0,0,0,0,0,0,0,0,21,1,,,12,1,33,0,0,1,1,1,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"0437620",4120,35.208449,-114.02573,4,3,0,,0,1,0,3,4120043,4120043,1,1,431,1043,10493,1,1,0,0,0,0,0,0,0,0,"city",1,1
829,829,"0439370","0401539370",4,"04015","015","04","39370","12","Lake Havasu City","58","Lake Havasu City","AZ, Lake Havasu City","Mohave County, AZ","Mohave County","West","AZ",4120,"Las Vegas, NV-AZ MSA",412004,-1,0,41938,41859,111472631,0,1,1,3,3,1,1,2,2,86403,1,2002,1,1984,3,1,2,2,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,0,0,0,0,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,,,,,40,1,40,0,0,3,3,3,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"0439370",4120,34.489969,-114.309019,4,0,0,,0,0,0,3,4120043,4120043,0,1,431,1043,10493,1,1,0,0,0,0,0,0,0,0,"city",1,2
830,830,"0499015","0401599999",4,"04015","015","04","99999","15","Mohave","06","Mohave","AZ, Mohave County","Mohave County, AZ","Mohave County","West","AZ",4120,"Las Vegas, NV-AZ MSA",412004,-1,0,55922,155032,34143540126,0,3,3,1,1,3,3,3,2,86401,1,2001,1,2002,4,1,2,1,0,.n,.s,.s,1,1,0,.n,0,.n,0,.n,1,1995,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,0,0,0,0,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,1,.n,.n,.n,.n,.n,.n,.n,0,0,3,3,3,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"0499015",4120,35.285985,-114.082709,5,4,0,,0,1,0,4,4120044,4120044,0,2,443,304,30490,1,1,0,0,0,0,0,0,0,0,"county",3,5
1410,1410,"0402830","0402102830",4,"04021","021","04","02830","4033","Apache Junction","58","Apache Junction","AZ, Apache Junction","Pinal County","Pinal County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,-1,0,31814,31281,88667367,0,1,1,5,4,1,1,2,1,85219,1,1999,1,1999,3,2,2,1,1,.n,.s,.s,1,1,0,.n,0,.n,1,1979,1,1999,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,2527,2031,0,0,1,1,0,1,0,0,1,10,40,0,0,0,0,.n,.n,,.n,.n,.n,.n,1,114,0,0,0,0,0,1,0,0,0,0,1,114,0,0,0,0,50,1,,,450,1,500,0,0,1,2,4,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"0402830",6200,33.410952,-111.548011,4,2,0,3,0,1,0,3,6200043,6200043,1,1,431,1043,10493,1,1,0,0,0,0,0,1,0,0,"city",1,2
1412,1412,"0410530","0402110530",4,"04021","021","04","10530","4","Casa Grande","58","Casa Grande","AZ, Casa Grande","Pinal County","Pinal County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,-1,0,25224,25321,124751739,0,1,1,5,4,1,1,2,1,85222,1,2002,1,1987,4,1,1,2,1,.n,0,.n,.s,0,.s,.s,.s,.s,.s,.s,.s,.s,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,2925,2486,0,0,0,1,1,1,0,1,1,40,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,1,1,0,0,1,224,0,0,0,0,526,1,,.s,1000,1,,0,0,2,3,4,1,1,.n,.n,.n,.n,.n,.n,.n,,0,0,0,0,0,1,"0410530",6200,32.885952,-111.743851,5,,0,3,0,,0,3,6200043,6200043,1,1,431,1043,10493,1,1,0,0,0,0,0,0,0,0,"city",1,2
1413,1413,"0423760","0402123760",4,"04021","021","04","23760","4034","Florence","60","Florence","AZ, Florence","Pinal County","Pinal County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,-1,0,17054,17149,21481466,0,1,1,4,2,1,1,1,,85232,1,2002,1,2000,3,1,2,0,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.n,1500,.n,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,.n,0,0,0,0,0,0,0,0,0,0,1,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,0,1,0,1,103,1,103,2,0,2,3,3,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,1,.s,1,"0423760",6200,33.042204,-111.384521,4,0,0,2,0,0,0,2,6200042,6200042,1,1,421,1042,10492,1,1,0,0,0,0,0,0,0,0,"town",1,1
1420,1420,"0499021","0402199999",4,"04021","021","04","99999","3017","Pinal","06","Pinal County","AZ, Pinal County","Pinal County","Pinal County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,-1,0,80359,179727,13447597648,0,3,3,1,1,3,3,3,1,85232,1,2001,1,2001,3,1,2,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,,.s,,.s,,.s,,0,0,3,4,4,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"0499021",6200,32.965668,-111.498113,4,0,0,,0,0,0,4,6200044,6200044,1,2,443,304,30490,1,1,0,0,0,0,0,0,0,0,"county",3,5
939,939,"0574540","0503574540",5,"05035","035","05","74540","3010","West Memphis","58","West Memphis","AR, West Memphis","Crittenden County, AR","Crittenden County","South","AR",4920,"Memphis, TN-AR-MS MSA",492005,-1,0,27666,27752,68613910,0,1,1,1,1,1,1,2,1,72301,0,.n,1,2003,3,1,2,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,0,0,0,0,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,1,0,0,0,0,0,0,0,0,0,150,1,,,,,150,0,0,4,4,3,-1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"0574540",4920,35.150294,-90.178831,4,0,0,,0,0,0,3,4920053,4920053,0,1,531,1053,10593,0,1,0,0,0,0,0,0,0,0,"city",1,2
1610,1610,"0600562","0600100562",6,"06001","001","06","00562","25","Alameda","58","Alameda","CA, Alameda","Alameda County","Alameda County","West","CA",7362,"San Francisco-Oakland-San Jose, CA CMSA",736206,1,1,72259,72259,27960382,0,1,1,24,19,1,1,3,2,94501,1,1991,1,.s,4,1,2,2,0,.n,.s,.s,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,15,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,.s,,.s,,.s,,1,1,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"0600562",5775,37.763971,-122.25681,5,0,0,,1,0,0,4,7362064,7362064,1,2,641,1064,10624,1,1,0,0,0,1,1,0,0,0,"city",1,3
1612,1612,"0600674","0600100674",6,"06001","001","06","00674","4891","Albany","58","Albany","CA, Albany","Alameda County","Alameda County","West","CA",7362,"San Francisco-Oakland-San Jose, CA CMSA",736206,1,1,16444,16444,4406416,0,1,1,17,10,1,1,1,2,94706,1,1992,1,1978,5,1,0,2,3,23,.s,.s,.s,0,.s,.s,.s,.s,.s,.s,.s,.s,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,1,1,1,0,1,1,0,1,1,250,260,0,0,1,0,1,0,,.n,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,224,270,0,0,0,,.s,,.s,,.s,,0,0,2,2,3,1,2,8888,1,1,0,0,0,1,0,3,1,0,0,1,1,"0600674",5775,37.891575,-122.295923,6,,0,,1,,0,2,7362062,7362062,1,1,621,1062,10622,1,1,0,1,0,1,0,0,0,0,"city",1,1
1615,1615,"0606000","0600106000",6,"06001","001","06","06000","4905","Berkeley","58","Berkeley","CA, Berkeley","Alameda County","Alameda County","West","CA",7362,"San Francisco-Oakland-San Jose, CA CMSA",736206,1,1,102743,102743,27088857,0,1,1,14,13,1,1,4,1,94704,1,2001,1,1999,5,1,2,2,0,.n,.s,.s,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,0,0,0,0,0,0,0,1,1,50,0,0,0,1,0,1,1,,.n,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,231,0,0,0,0,,,,,,,1629,2,0,2,2,2,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"0606000",5775,37.871775,-122.274603,6,0,0,,1,0,0,5,7362065,7362065,1,2,651,1065,10625,1,1,0,1,0,1,1,0,0,0,"city",1,4
1624,1624,"0620018","0600120018",6,"06001","001","06","20018","4933","Dublin","58","Dublin","CA, Dublin","Alameda County","Alameda County","West","CA",7362,"San Francisco-Oakland-San Jose, CA CMSA",736206,1,1,29973,30036,32599560,0,1,1,33,24,1,1,2,1,94568,1,.s,1,2002,.s,.s,.s,.s,.s,.s,0,.n,1,1,0,.n,0,.n,0,.n,1,2002,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,12.5,3,0,1,1,1,258,0,0,0,0,0,1,1,0,0,0,1,213,255,258,251,0,.s,.s,.s,.s,.s,.s,.s,1,1,5,5,4,-1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"0620018",5775,37.714229,-121.912496,1,5,0,,1,1,0,3,7362063,7362063,1,1,631,1063,10623,1,1,0,0,0,1,1,0,0,0,"city",1,2
1629,1629,"0626000","0600126000",6,"06001","001","06","26000","104","Fremont","58","Fremont","CA, Fremont","Alameda County","Alameda County","West","CA",7362,"San Francisco-Oakland-San Jose, CA CMSA",736206,0,1,203413,203413,198631446,0,1,1,14,13,1,1,4,1,94537,1,1991,1,2222,5,1,2,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,15,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,.s,,.s,,.s,,1,1,.s,.s,3,-1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"0626000",5775,37.542943,-121.982786,6,0,0,,1,0,0,5,7362065,7362065,1,2,651,1065,10625,1,1,0,1,0,1,1,0,0,0,"city",1,5
